Data,Estado,Casos
20/03/21,AMAZONAS,1025
21/03/21,AMAZONAS,674
22/03/21,AMAZONAS,460
23/03/21,AMAZONAS,1275
24/03/21,AMAZONAS,1183
25/03/21,AMAZONAS,1165
26/03/21,AMAZONAS,1091
27/03/21,AMAZONAS,1112
28/03/21,AMAZONAS,474
29/03/21,AMAZONAS,510
30/03/21,AMAZONAS,1490
31/03/21,AMAZONAS,1313
01/04/21,AMAZONAS,1165
02/04/21,AMAZONAS,830
03/04/21,AMAZONAS,746
04/04/21,AMAZONAS,448
05/04/21,AMAZONAS,664
06/04/21,AMAZONAS,953
07/04/21,AMAZONAS,1098
08/04/21,AMAZONAS,960
09/04/21,AMAZONAS,1172
10/04/21,AMAZONAS,737
11/04/21,AMAZONAS,535
12/04/21,AMAZONAS,489
13/04/21,AMAZONAS,995
14/04/21,AMAZONAS,820
15/04/21,AMAZONAS,893
16/04/21,AMAZONAS,773
17/04/21,AMAZONAS,701
18/04/21,AMAZONAS,484
19/04/21,AMAZONAS,442
20/04/21,AMAZONAS,734
21/04/21,AMAZONAS,671
22/04/21,AMAZONAS,536
23/04/21,AMAZONAS,829
24/04/21,AMAZONAS,544
25/04/21,AMAZONAS,371
26/04/21,AMAZONAS,426
27/04/21,AMAZONAS,715
28/04/21,AMAZONAS,634
29/04/21,AMAZONAS,696
30/04/21,AMAZONAS,592
01/05/21,AMAZONAS,530
02/05/21,AMAZONAS,412
03/05/21,AMAZONAS,410
04/05/21,AMAZONAS,675
05/05/21,AMAZONAS,599
06/05/21,AMAZONAS,545
07/05/21,AMAZONAS,630
08/05/21,AMAZONAS,495
09/05/21,AMAZONAS,211
10/05/21,AMAZONAS,320
11/05/21,AMAZONAS,695
12/05/21,AMAZONAS,595
13/05/21,AMAZONAS,666
14/05/21,AMAZONAS,579
15/05/21,AMAZONAS,507
16/05/21,AMAZONAS,210
17/05/21,AMAZONAS,312
18/05/21,AMAZONAS,663
19/05/21,AMAZONAS,586
20/05/21,AMAZONAS,620
21/05/21,AMAZONAS,599
22/05/21,AMAZONAS,515
23/05/21,AMAZONAS,337
24/05/21,AMAZONAS,358
25/05/21,AMAZONAS,535
26/05/21,AMAZONAS,600
27/05/21,AMAZONAS,654
28/05/21,AMAZONAS,721
29/05/21,AMAZONAS,473
30/05/21,AMAZONAS,246
31/05/21,AMAZONAS,344
01/06/21,AMAZONAS,620
02/06/21,AMAZONAS,671
03/06/21,AMAZONAS,585
04/06/21,AMAZONAS,456
05/06/21,AMAZONAS,450
06/06/21,AMAZONAS,350
07/06/21,AMAZONAS,286
08/06/21,AMAZONAS,550
09/06/21,AMAZONAS,677
10/06/21,AMAZONAS,795
11/06/21,AMAZONAS,716
12/06/21,AMAZONAS,604
13/06/21,AMAZONAS,314
14/06/21,AMAZONAS,383
15/06/21,AMAZONAS,726
16/06/21,AMAZONAS,503
17/06/21,AMAZONAS,620
18/06/21,AMAZONAS,684
19/06/21,AMAZONAS,499
20/06/21,AMAZONAS,225
21/06/21,AMAZONAS,393
22/06/21,AMAZONAS,720
23/06/21,AMAZONAS,511
24/06/21,AMAZONAS,645
25/06/21,AMAZONAS,661
26/06/21,AMAZONAS,471
27/06/21,AMAZONAS,248
28/06/21,AMAZONAS,414
29/06/21,AMAZONAS,552
30/06/21,AMAZONAS,342
01/07/21,AMAZONAS,665
02/07/21,AMAZONAS,575
03/07/21,AMAZONAS,495
04/07/21,AMAZONAS,221
05/07/21,AMAZONAS,302
06/07/21,AMAZONAS,719
07/07/21,AMAZONAS,543
08/07/21,AMAZONAS,701
09/07/21,AMAZONAS,718
10/07/21,AMAZONAS,492
11/07/21,AMAZONAS,267
12/07/21,AMAZONAS,250
13/07/21,AMAZONAS,578
14/07/21,AMAZONAS,552
15/07/21,AMAZONAS,616
16/07/21,AMAZONAS,584
17/07/21,AMAZONAS,515
18/07/21,AMAZONAS,230
19/07/21,AMAZONAS,273
20/07/21,AMAZONAS,509
21/07/21,AMAZONAS,651
22/07/21,AMAZONAS,601
23/07/21,AMAZONAS,412
24/07/21,AMAZONAS,295
25/07/21,AMAZONAS,260
26/07/21,AMAZONAS,231
27/07/21,AMAZONAS,445
28/07/21,AMAZONAS,489
